"Time","japan holidays"
"2026-01-01",71
"2026-01-02",70
"2026-01-03",53
"2026-01-04",44
"2026-01-05",85
"2026-01-06",100
"2026-01-07",54
"2026-01-08",50
"2026-01-09",0
"2026-01-10",68
"2026-01-11",50
"2026-01-12",85
"2026-01-13",61
"2026-01-14",86
"2026-01-15",44
"2026-01-16",59
"2026-01-17",52
"2026-01-18",63
"2026-01-19",44
"2026-01-20",64
"2026-01-21",49
"2026-01-22",44
"2026-01-23",49
"2026-01-24",51
"2026-01-25",68
"2026-01-26",85
"2026-01-27",98
"2026-01-28",81
"2026-01-29",80
"2026-01-30",50
"2026-01-31",61
"2026-02-01",0
"2026-02-02",52
"2026-02-03",68
"2026-02-04",82
"2026-02-05",0
"2026-02-06",42
"2026-02-07",82
"2026-02-08",49
"2026-02-09",72
"2026-02-10",51
"2026-02-11",66
"2026-02-12",38
"2026-02-13",46
"2026-02-14",68
"2026-02-15",77
"2026-02-16",62
"2026-02-17",48
"2026-02-18",53
"2026-02-19",46
"2026-02-20",0
"2026-02-21",0
"2026-02-22",53
"2026-02-23",74
"2026-02-24",83
"2026-02-25",71
"2026-02-26",51
"2026-02-27",45
"2026-02-28",55
"2026-03-01",43
"2026-03-02",56
"2026-03-03",50
"2026-03-04",54
"2026-03-05",0
"2026-03-06",0
"2026-03-07",55
"2026-03-08",73
"2026-03-09",47
"2026-03-10",47
"2026-03-11",42
"2026-03-12",0
"2026-03-13",42
"2026-03-14",0
"2026-03-15",0
"2026-03-16",0
"2026-03-17",34
"2026-03-18",35
"2026-03-19",38
"2026-03-20",41
"2026-03-21",36
"2026-03-22",45
"2026-03-23",41
"2026-03-24",32
"2026-03-25",30
"2026-03-26",30
"2026-03-27",25
"2026-03-28",32
"2026-03-29",44
"2026-03-30",34
"2026-03-31",33
