Auction insights report
All time
Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
booking.com,16.51%,11.94%,59.95%,82.58%,18.98%,8.83%
firstchoice.co.uk,< 10%,6.58%,44.27%,52.02%,6.02%,9.23%
jet2holidays.com,57.27%,35.45%,83.56%,90.85%,52.09%,6.69%
You,< 10%, --, --,78.34%,22.08%, --
thomascook.com,< 10%,5.65%,43.93%,56.62%,4.90%,9.27%
travelsupermarket.com,< 10%,5.39%,40.25%,36.27%,2.96%,9.30%
loveholidays.com,48.76%,27.30%,71.01%,85.48%,25.08%,7.67%
easyjet.com,29.96%,18.29%,69.75%,83.52%,20.26%,8.30%
onthebeach.co.uk,16.88%,10.33%,47.67%,75.17%,8.38%,9.04%
icelolly.com,< 10%,4.12%,40.60%,31.45%,3.63%,9.35%
britishairways.com,< 10%,4.04%,56.83%,69.44%,16.32%,9.29%
tui.co.uk,45.69%,28.95%,78.41%,89.12%,25.48%,7.35%
