Auction insights report
1 February 2026 - 28 February 2026
Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
onthebeach.co.uk,10.82%,8.72%,52.54%,83.05%,10.78%,5.31%
airbnb.co.uk,< 10%,6.10%,50.13%,80.21%,15.46%,5.39%
thomascook.com,< 10%,6.93%,48.40%,65.59%,5.08%,5.38%
loveholidays.com,44.99%,29.87%,64.05%,85.05%,16.94%,4.50%
booking.com,16.05%,16.16%,66.64%,86.57%,19.95%,4.96%
tui.co.uk,51.96%,50.34%,77.10%,89.68%,25.53%,3.40%
firstchoice.co.uk,< 10%,6.88%,53.46%,58.99%,2.85%,5.36%
jet2holidays.com,64.09%,56.50%,82.80%,90.46%,50.13%,2.96%
britishairways.com,< 10%,4.25%,54.04%,77.45%,12.73%,5.44%
easyjet.com,38.03%,25.69%,66.91%,89.98%,23.46%,4.61%
You,< 10%, --, --,77.07%,16.20%, --
