"Time","china holidays"
"2026-01-01",0
"2026-01-02",0
"2026-01-03",0
"2026-01-04",0
"2026-01-05",0
"2026-01-06",0
"2026-01-07",0
"2026-01-08",0
"2026-01-09",0
"2026-01-10",0
"2026-01-11",0
"2026-01-12",0
"2026-01-13",0
"2026-01-14",0
"2026-01-15",0
"2026-01-16",0
"2026-01-17",0
"2026-01-18",0
"2026-01-19",0
"2026-01-20",0
"2026-01-21",0
"2026-01-22",0
"2026-01-23",0
"2026-01-24",0
"2026-01-25",90
"2026-01-26",92
"2026-01-27",0
"2026-01-28",0
"2026-01-29",0
"2026-01-30",0
"2026-01-31",0
"2026-02-01",0
"2026-02-02",0
"2026-02-03",0
"2026-02-04",0
"2026-02-05",0
"2026-02-06",0
"2026-02-07",0
"2026-02-08",0
"2026-02-09",71
"2026-02-10",0
"2026-02-11",0
"2026-02-12",0
"2026-02-13",0
"2026-02-14",0
"2026-02-15",0
"2026-02-16",68
"2026-02-17",0
"2026-02-18",0
"2026-02-19",0
"2026-02-20",0
"2026-02-21",0
"2026-02-22",0
"2026-02-23",0
"2026-02-24",0
"2026-02-25",0
"2026-02-26",0
"2026-02-27",0
"2026-02-28",100
"2026-03-01",0
"2026-03-02",0
"2026-03-03",0
"2026-03-04",0
"2026-03-05",0
"2026-03-06",0
"2026-03-07",0
"2026-03-08",0
"2026-03-09",0
"2026-03-10",76
"2026-03-11",0
"2026-03-12",0
"2026-03-13",0
"2026-03-14",0
"2026-03-15",0
"2026-03-16",0
"2026-03-17",43
"2026-03-18",36
"2026-03-19",30
"2026-03-20",27
"2026-03-21",30
"2026-03-22",27
"2026-03-23",37
"2026-03-24",33
"2026-03-25",26
"2026-03-26",23
"2026-03-27",24
"2026-03-28",31
"2026-03-29",36
"2026-03-30",35
"2026-03-31",36
