Auction insights report
All time
Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
tripadeal.com.au,< 10%,5.96%,46.49%,74.74%,22.40%,22.36%
tripadvisor.com.au,< 10%,8.63%,46.37%,54.45%,5.20%,22.07%
flightcentre.com.au,< 10%,7.46%,56.79%,65.30%,8.37%,22.02%
inspiringvacations.com,< 10%,12.40%,56.44%,72.50%,30.94%,21.38%
luxuryescapes.com,< 10%,11.14%,46.13%,57.11%,12.95%,21.81%
intrepidtravel.com,< 10%,10.08%,62.33%,76.37%,25.87%,21.55%
You,22.99%, --, --,54.41%,13.71%, --
webjet.com.au,10.12%,19.30%,72.35%,69.96%,12.39%,19.78%
tourradar.com,< 10%,12.54%,71.11%,79.08%,23.01%,20.94%
vietnamuniquetours.com,< 10%,7.37%,89.08%,78.35%,9.57%,21.48%
