Date,Campaign Type,Destination,Sales Leads,Cost,Impressions,Clicks
30 Mar 2026,Generic,Japan,2,561.726422,1008,404
30 Mar 2026,Performance Max,Japan,1,204.886013,15206,265
30 Mar 2026,Demand Gen,Japan,0,56.680257,8334,123
30 Mar 2026,Performance Max,China,2,119.420206,17232,119
30 Mar 2026,Brand,Other,12.445246,166.36121000000003,610,248
30 Mar 2026,Generic,China,0.998349,337.536191,746,86
30 Mar 2026,Performance Max,SE Asia,0,87.031717,1744,86
30 Mar 2026,Demand Gen,China,0,73.63606,11583,81
30 Mar 2026,Demand Gen,India,0,37.039235,7946,73
30 Mar 2026,Demand Gen,SE Asia,0,73.77332,4923,69
30 Mar 2026,Performance Max,India,6,73.784459,4705,45
30 Mar 2026,Generic,SE Asia,0,104.524733,395,37
30 Mar 2026,Generic,India,0,80.02627,216,27
30 Mar 2026,Generic,Other,8,183.80770499999997,923,93
30 Mar 2026,Other,Other,0.000619,0,0,0
29 Mar 2026,Generic,Japan,4,554.396572,1072,443
29 Mar 2026,Performance Max,Japan,2.399452,162.638753,9570,172
29 Mar 2026,Generic,China,2,512.197252,1067,155
29 Mar 2026,Demand Gen,Japan,1,57.308385,9868,116
29 Mar 2026,Demand Gen,SE Asia,0,74.626714,6750,112
29 Mar 2026,Performance Max,SE Asia,1.333334,113.619722,1973,98
29 Mar 2026,Performance Max,China,0.6,107.982057,9875,95
29 Mar 2026,Demand Gen,China,0,69.195472,27274,93
29 Mar 2026,Brand,Other,4.998558,136.533286,478,185
29 Mar 2026,Generic,SE Asia,1,197.253857,559,73
29 Mar 2026,Demand Gen,India,0,37.128611,8388,68
29 Mar 2026,Generic,India,1,73.666603,281,31
29 Mar 2026,Generic,Other,6.666666,194.365453,981,75
29 Mar 2026,Performance Max,India,0,21.709513,3174,20
28 Mar 2026,Demand Gen,SE Asia,0,87.287408,5950,84
28 Mar 2026,Performance Max,Japan,0,193.824116,14561,189
28 Mar 2026,Demand Gen,China,0,81.406145,27206,136
28 Mar 2026,Demand Gen,Japan,2,66.404141,9825,131
28 Mar 2026,Generic,China,1,402.585077,910,108
28 Mar 2026,Brand,Other,5.386024,154.027701,496,203
28 Mar 2026,Demand Gen,India,0,43.304771,9025,88
28 Mar 2026,Generic,Japan,3,571.10487,921,415
28 Mar 2026,Performance Max,SE Asia,0,97.106289,1640,69
28 Mar 2026,Performance Max,China,0,52.850882,4647,63
28 Mar 2026,Generic,SE Asia,0,195.54012,499,55
28 Mar 2026,Performance Max,India,0,31.29865,3019,25
28 Mar 2026,Generic,Other,7,172.191874,799,70
28 Mar 2026,Generic,India,2,51.791281,200,13
27 Mar 2026,Performance Max,China,0,90.110183,2802,65
27 Mar 2026,Performance Max,Japan,2,199.165533,20974,236
27 Mar 2026,Demand Gen,Japan,0,66.893935,9880,174
27 Mar 2026,Demand Gen,China,2.7289499999999998,85.380655,27526,117
27 Mar 2026,Demand Gen,India,0,45.593939,10657,97
27 Mar 2026,Brand,Other,6.909638,128.268398,526,192
27 Mar 2026,Demand Gen,SE Asia,0,90.633354,5617,82
27 Mar 2026,Performance Max,SE Asia,0,59.22636,1075,68
27 Mar 2026,Generic,Japan,3,731.4549860000001,1061,411
27 Mar 2026,Generic,China,3,213.655045,557,52
27 Mar 2026,Generic,SE Asia,0,86.043637,373,36
27 Mar 2026,Generic,Other,3,132.126403,798,59
27 Mar 2026,Generic,India,0,61.439309,214,17
27 Mar 2026,Performance Max,India,0,10.415632,1228,7
27 Mar 2026,Other,Other,0,0,0,0
26 Mar 2026,Generic,Japan,3.5,570.9174409999999,974,400
26 Mar 2026,Performance Max,Japan,1.5,177.256384,13053,211
26 Mar 2026,Demand Gen,Japan,0,61.212209,9392,169
26 Mar 2026,Demand Gen,China,1,75.094842,20094,126
26 Mar 2026,Brand,Other,1.73917,109.32614099999999,540,186
26 Mar 2026,Demand Gen,SE Asia,0,80.693077,5940,86
26 Mar 2026,Demand Gen,India,3,40.023149,10597,81
26 Mar 2026,Generic,China,0.500128,373.237477,761,79
26 Mar 2026,Performance Max,China,2.498876,70.277916,2266,69
26 Mar 2026,Generic,SE Asia,0.380393,163.523213,518,66
26 Mar 2026,Performance Max,SE Asia,0,94.087833,1056,58
26 Mar 2026,Generic,Other,2,154.623024,599,70
26 Mar 2026,Generic,India,0,58.644005,200,18
26 Mar 2026,Performance Max,India,1,80.77748,1633,18
25 Mar 2026,Demand Gen,China,1,80.30519,5406,89
25 Mar 2026,Performance Max,Japan,1,251.528563,14591,242
25 Mar 2026,Demand Gen,Japan,0,61.01956,9501,173
25 Mar 2026,Brand,Other,10.996112,165.72286099999997,779,287
25 Mar 2026,Demand Gen,India,1,55.23822,13982,110
25 Mar 2026,Demand Gen,SE Asia,0.999066,87.18797,5943,91
25 Mar 2026,Generic,Japan,6.998062,572.878932,1194,482
25 Mar 2026,Generic,China,1,411.96382,866,84
25 Mar 2026,Performance Max,SE Asia,3,103.78019,1101,71
25 Mar 2026,Performance Max,China,0,67.959215,3450,69
25 Mar 2026,Generic,SE Asia,1,159.342721,595,58
25 Mar 2026,Performance Max,India,0,84.859218,4033,47
25 Mar 2026,Generic,India,0,72.779613,223,28
25 Mar 2026,Generic,Other,3,127.267752,571,61
24 Mar 2026,Generic,Japan,3.5,603.3131989999999,1138,403
24 Mar 2026,Performance Max,Japan,3.002378,245.940656,12536,233
24 Mar 2026,Demand Gen,Japan,0,60.870916,9673,154
24 Mar 2026,Performance Max,SE Asia,0,144.465192,2405,122
24 Mar 2026,Demand Gen,China,0,92.311767,4225,121
24 Mar 2026,Demand Gen,SE Asia,1,86.344601,6891,111
24 Mar 2026,Demand Gen,India,0,55.705219,17199,94
24 Mar 2026,Brand,Other,4.8000419999999995,121.87620199999999,417,185
24 Mar 2026,Generic,China,0,330.465015,1060,80
24 Mar 2026,Generic,SE Asia,2,212.810042,572,62
24 Mar 2026,Performance Max,China,0,108.976537,1545,58
24 Mar 2026,Performance Max,India,0,52.756643,2163,30
24 Mar 2026,Generic,Other,0,124.64886500000001,604,64
24 Mar 2026,Generic,India,0,87.723915,225,17
23 Mar 2026,Generic,Japan,4,601.4723640000001,1215,370
23 Mar 2026,Performance Max,Japan,0.61142,264.595432,8736,218
23 Mar 2026,Demand Gen,Japan,0,61.458296,9287,163
23 Mar 2026,Brand,Other,3.999655,167.790697,544,252
23 Mar 2026,Demand Gen,India,1,55.369245,16664,121
23 Mar 2026,Demand Gen,China,0,92.742285,4568,120
23 Mar 2026,Generic,China,1,411.758757,1086,102
23 Mar 2026,Demand Gen,SE Asia,0,86.924634,5818,90
23 Mar 2026,Performance Max,SE Asia,1,124.900697,1981,87
23 Mar 2026,Performance Max,China,0,98.050018,2672,49
23 Mar 2026,Performance Max,India,1,70.40906,2064,34
23 Mar 2026,Generic,SE Asia,0,82.574525,280,28
23 Mar 2026,Generic,India,0,73.884329,249,24
23 Mar 2026,Generic,Other,1,128.99321799999998,601,66
22 Mar 2026,Generic,Japan,4,640.649277,1262,378
22 Mar 2026,Performance Max,Japan,1.5,231.386673,4800,216
22 Mar 2026,Demand Gen,India,1,55.342655,16033,168
22 Mar 2026,Demand Gen,China,1.5,92.396641,17925,157
22 Mar 2026,Demand Gen,Japan,0,60.924823,10442,145
22 Mar 2026,Generic,China,0,428.01045,1254,114
22 Mar 2026,Brand,Other,8.610759,152.505478,434,221
