Date,Campaign Type,Purchases,Revenue,Cost,CPA,Add to cart,Cost per ATC,AOV
18 Mar 2026,Generic,0,0,322.4447329999999,null,4.04483,79.71774660492528,null
18 Mar 2026,Brand,0,0,127.346236,null,8.035358,15.848234266600194,null
18 Mar 2026,Performance Max,0,0,33.479262,null,1,33.479262,null
17 Mar 2026,Generic,0.500351,1786.862587,311.051826,621.6672415963993,5.204053,59.77107189338771,3571.2181788384555
17 Mar 2026,Brand,0,0,165.625426,null,11.085146,14.941203841609303,null
17 Mar 2026,Performance Max,0.5,1784.98,48.653093,97.306186,0.846318,57.4879572453853,3569.96
16 Mar 2026,Generic,0,0,339.57500899999997,null,5.965498999999999,56.92315244709621,null
16 Mar 2026,Brand,2,2920.999994,156.38204000000002,78.19102000000001,4.5704970000000005,34.21554373627201,1460.499997
16 Mar 2026,Performance Max,0,0,54.506579,null,1,54.506579,null
15 Mar 2026,Generic,3,7394.360000000001,388.988644,129.66288133333333,8.238614,47.21530150581154,2464.786666666667
15 Mar 2026,Brand,0,0,161.818361,null,12.884773,12.558883342376308,null
15 Mar 2026,Performance Max,0,0,44.364191,null,2.516778,17.627375557160782,null
15 Mar 2026,Demand Gen,0,0,0,null,0,null,null
14 Mar 2026,Generic,0,0,328.323402,null,0.402234,816.2497501454377,null
14 Mar 2026,Brand,0.998108,997.778624,156.855617,157.15295038212298,11.450586999999999,13.698478252686959,999.6699996393177
14 Mar 2026,Performance Max,0,0,57.405711,null,3.999285,14.353993526342833,null
14 Mar 2026,Demand Gen,0,0,0,null,0.000715,0,null
13 Mar 2026,Performance Max,0,0,89.332459,null,2,44.6662295,null
13 Mar 2026,Generic,0,0,190.13742100000002,null,3.559005,53.42431971857303,null
13 Mar 2026,Brand,0.001261,2.921522,132.910907,105401.19508326726,6.957890999999999,19.102182974697364,2316.829500396511
13 Mar 2026,Other,0,0,0,null,0,null,null
12 Mar 2026,Generic,0,0,331.476185,null,7.9752089999999995,41.56332266652824,null
12 Mar 2026,Brand,0,0,149.954593,null,4.937984,30.3675736899917,null
12 Mar 2026,Performance Max,0,0,53.999835,null,0,null,null
11 Mar 2026,Generic,0,0,364.004268,null,5.218135,69.75754134379429,null
11 Mar 2026,Brand,1,2518.69,145.59636799999998,145.59636799999998,4.322781,33.68118070288548,2518.69
11 Mar 2026,Performance Max,0,0,55.612565,null,1,55.612565,null
11 Mar 2026,Other,0,0,0,null,0,null,null
10 Mar 2026,Generic,1,2135.97,359.99676600000004,359.99676600000004,6,59.999461000000004,2135.97
10 Mar 2026,Brand,2.000776,2536.383532,147.81221,73.8774405530654,11.857564,12.465647244240047,1267.6998984394054
10 Mar 2026,Performance Max,0,0,38.848732,null,1,38.848732,null
10 Mar 2026,Other,0,0,0,null,1,0,null
9 Mar 2026,Generic,0.001261,1.902017,431.87989899999997,342490.0071371927,1.973098,218.8841603407433,1508.340206185567
9 Mar 2026,Performance Max,0,0,75.667417,null,0,null,null
9 Mar 2026,Brand,1.241171,1367.446901,170.964629,137.74462100709732,12.151427,14.069510436922346,1101.739326007456
9 Mar 2026,Other,0,0,0,null,0,null,null
9 Mar 2026,Demand Gen,0,0,0,null,0,null,null
8 Mar 2026,Generic,0,0,593.543037,null,5.5852,106.27068627802048,null
8 Mar 2026,Brand,2,2518.5699999999997,226.980957,113.4904785,9.999933,22.69824777826011,1259.2849999999999
8 Mar 2026,Performance Max,0,0,79.32726,null,2.9996989999999997,26.445073322356677,null
7 Mar 2026,Generic,1.000571,1028.360601,371.82522300000005,371.61303195875155,6.938224,53.590835781606366,1027.7737421932077
7 Mar 2026,Brand,2,2649.06,137.683203,68.8416015,7.290734,18.884683352869548,1324.53
7 Mar 2026,Performance Max,0,0,57.445875,null,0,null,null
7 Mar 2026,Other,0,0,0,null,0,null,null
6 Mar 2026,Performance Max,0,0,197.159363,null,0.75,262.8791506666667,null
6 Mar 2026,Generic,0,0,394.614777,null,5.6418420000000005,69.94431552673754,null
6 Mar 2026,Brand,1.000351,2505.901638,138.335873,138.28733414571485,4.282744,32.30075694461308,2505.0223751463236
6 Mar 2026,Other,0,0,0,null,0.25,0,null
5 Mar 2026,Performance Max,0,0,225.787726,null,2.164607,104.30887731583607,null
5 Mar 2026,Generic,1,1530.14,542.605104,542.605104,13.69803,39.61190798968903,1530.14
5 Mar 2026,Brand,1.018727,2936.2691409999998,112.001472,109.94257735389365,4.3054939999999995,26.013617020485924,2882.29245028354
4 Mar 2026,Performance Max,0,0,145.419915,null,0,null,null
4 Mar 2026,Generic,0,0,300.923153,null,5,60.184630600000006,null
4 Mar 2026,Brand,2.997534,3037.631375,131.789922,43.966114145827866,9.021654999999999,14.608175772627085,1013.3767873858978
4 Mar 2026,Other,0,0,0,null,0,null,null
3 Mar 2026,Generic,0,0,318.434752,null,3.999372,79.62118852659867,null
3 Mar 2026,Performance Max,0,0,81.116986,null,0,null,null
3 Mar 2026,Brand,0.071808,140.99282399999998,153.484386,2137.4273897058824,7.317629,20.974606119003845,1963.4695855614973
3 Mar 2026,Other,0,0,0,null,0,null,null
2 Mar 2026,Generic,0.208055,692.993914,652.7371830000001,3137.3299512148237,8.067182,80.91266355463408,3330.8207637403575
2 Mar 2026,Brand,0.013368,53.427885,164.01864,12269.497307001797,4.61192,35.564068760949894,3996.699955116697
2 Mar 2026,Performance Max,0,0,67.420158,null,1,67.420158,null
2 Mar 2026,Other,0,0,0,null,1,0,null
1 Mar 2026,Generic,1,1932.82,974.0664280000001,974.0664280000001,6.530772,149.15027319894187,1932.82
1 Mar 2026,Brand,2,3080.559999,200.421836,100.210918,2.5163010000000003,79.64938852704823,1540.2799995
1 Mar 2026,Performance Max,0,0,42.804635,null,1,42.804635,null
1 Mar 2026,Other,0,0,0,null,0,null,null
