Auction insights report
All time
Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
tui.co.uk,< 10%,3.60%,57.04%,73.80%,21.27%,18.68%
gadventures.com,< 10%,5.13%,42.59%,70.25%,21.65%,18.65%
travelbag.co.uk,< 10%,9.34%,64.97%,74.76%,19.74%,17.91%
exoticca.com,< 10%,9.36%,45.53%,73.61%,19.02%,18.26%
loveholidays.com,< 10%,4.29%,57.07%,80.19%,20.65%,18.60%
You,19.07%, --, --,62.37%,18.35%, --
distantjourneys.co.uk,10.70%,16.50%,61.90%,78.38%,33.63%,17.12%
greatrail.com,< 10%,7.69%,52.93%,75.44%,24.41%,18.29%
getyourguide.com,< 10%,1.99%,52.15%,81.51%,31.77%,18.87%
rivieratravel.co.uk,< 10%,12.16%,48.17%,63.00%,17.12%,17.95%
audleytravel.com,19.95%,28.88%,68.37%,78.02%,37.12%,15.30%
intrepidtravel.com,< 10%,12.59%,54.61%,67.55%,17.93%,17.76%
saga.co.uk,< 10%,7.58%,52.94%,64.70%,19.32%,18.30%
