"Time","japan holidays"
"2026-01-01",93
"2026-01-02",78
"2026-01-03",100
"2026-01-04",93
"2026-01-05",74
"2026-01-06",73
"2026-01-07",61
"2026-01-08",54
"2026-01-09",64
"2026-01-10",86
"2026-01-11",92
"2026-01-12",84
"2026-01-13",68
"2026-01-14",74
"2026-01-15",63
"2026-01-16",70
"2026-01-17",74
"2026-01-18",83
"2026-01-19",82
"2026-01-20",47
"2026-01-21",69
"2026-01-22",62
"2026-01-23",80
"2026-01-24",45
"2026-01-25",96
"2026-01-26",56
"2026-01-27",69
"2026-01-28",53
"2026-01-29",58
"2026-01-30",44
"2026-01-31",71
"2026-02-01",86
"2026-02-02",64
"2026-02-03",55
"2026-02-04",69
"2026-02-05",54
"2026-02-06",55
"2026-02-07",42
"2026-02-08",59
"2026-02-09",59
"2026-02-10",67
"2026-02-11",65
"2026-02-12",64
"2026-02-13",36
"2026-02-14",52
"2026-02-15",66
"2026-02-16",50
"2026-02-17",56
"2026-02-18",28
"2026-02-19",36
"2026-02-20",61
"2026-02-21",50
"2026-02-22",54
"2026-02-23",93
"2026-02-24",54
"2026-02-25",46
"2026-02-26",48
"2026-02-27",36
"2026-02-28",32
"2026-03-01",63
"2026-03-02",75
"2026-03-03",51
"2026-03-04",37
"2026-03-05",32
"2026-03-06",30
"2026-03-07",46
"2026-03-08",50
"2026-03-09",36
"2026-03-10",42
"2026-03-11",58
"2026-03-12",43
"2026-03-13",72
"2026-03-14",0
"2026-03-15",70
"2026-03-16",51
"2026-03-17",37
"2026-03-18",32
"2026-03-19",41
"2026-03-20",46
"2026-03-21",35
"2026-03-22",43
"2026-03-23",41
"2026-03-24",37
"2026-03-25",42
"2026-03-26",39
"2026-03-27",39
"2026-03-28",53
"2026-03-29",63
"2026-03-30",43
"2026-03-31",41
