Date,Campaign Type,Destination,Sales Leads,Cost,Impressions,Clicks
10 Mar 2026,Brand,Other,32,91.325096,494,247
10 Mar 2026,Demand Gen,China,1,65.254755,24497,160
10 Mar 2026,Performance Max,China,2,124.533494,8916,147
10 Mar 2026,Generic,Japan,3,184.216522,866,68
10 Mar 2026,Generic,China,1,215.672245,465,59
10 Mar 2026,Generic,SE Asia,0,103.98621800000001,515,45
10 Mar 2026,Performance Max,SE Asia,0,30.733966,3608,38
10 Mar 2026,Demand Gen,SE Asia,0,12.39612,2443,28
10 Mar 2026,Performance Max,Japan,1,43.17137,5875,27
10 Mar 2026,Generic,India,2,71.494589,389,27
10 Mar 2026,Performance Max,Other,0,25.067965,7567,26
10 Mar 2026,Performance Max,India,0,27.621399,2738,23
10 Mar 2026,Demand Gen,Japan,0,29.793229,5095,23
10 Mar 2026,Demand Gen,India,0,18.093498,2051,17
10 Mar 2026,Generic,Other,0,86.77929599999999,619,46
10 Mar 2026,Other,Other,0,0,0,0
9 Mar 2026,Brand,Other,41,125.48162,662,342
9 Mar 2026,Demand Gen,China,2,86.822773,30532,199
9 Mar 2026,Performance Max,Japan,0,107.499003,64557,154
9 Mar 2026,Generic,China,5,423.772652,2107,147
9 Mar 2026,Generic,Japan,4,205.317312,1609,101
9 Mar 2026,Performance Max,China,2,84.154389,6792,95
9 Mar 2026,Performance Max,India,0,50.178081,19569,91
9 Mar 2026,Generic,Other,2,119.079604,6675,200
9 Mar 2026,Demand Gen,SE Asia,1,25.686634,6023,52
9 Mar 2026,Generic,India,1,212.508353,1490,51
9 Mar 2026,Generic,SE Asia,2,130.953796,862,45
9 Mar 2026,Demand Gen,India,0,30.591253,2811,32
9 Mar 2026,Performance Max,Other,0,39.924395,7396,29
9 Mar 2026,Performance Max,SE Asia,1,12.441476,1613,16
9 Mar 2026,Demand Gen,Japan,0,29.193786,6121,16
9 Mar 2026,Other,Other,1,0,0,0
8 Mar 2026,Demand Gen,China,0,114.751311,52844,337
8 Mar 2026,Brand,Other,22,117.961322,550,328
8 Mar 2026,Generic,China,2,399.754636,2083,174
8 Mar 2026,Generic,Japan,4,225.32259,1767,117
8 Mar 2026,Performance Max,Japan,0,68.861416,34637,96
8 Mar 2026,Generic,Other,0,116.51609600000002,6370,210
8 Mar 2026,Performance Max,Other,0,37.953967,15912,70
8 Mar 2026,Demand Gen,SE Asia,0,34.270644,5719,64
8 Mar 2026,Generic,India,1,152.136748,1200,56
8 Mar 2026,Performance Max,China,0,41.128982,2943,53
8 Mar 2026,Generic,SE Asia,0,140.81318800000003,635,60
8 Mar 2026,Demand Gen,India,0,36.651321,4282,42
8 Mar 2026,Performance Max,SE Asia,0,27.582827,3035,42
8 Mar 2026,Demand Gen,Japan,0,43.763909,6289,33
8 Mar 2026,Performance Max,India,0,25.292419,2861,26
8 Mar 2026,Other,Other,0,0,0,0
7 Mar 2026,Demand Gen,China,0,113.498407,43711,279
7 Mar 2026,Brand,Other,26,102.85596899999999,544,304
7 Mar 2026,Generic,Japan,0,274.09099499999996,1675,112
7 Mar 2026,Generic,China,3,407.41419499999995,1730,128
7 Mar 2026,Performance Max,Japan,0,79.911495,43185,91
7 Mar 2026,Performance Max,China,0,70.938549,2594,68
7 Mar 2026,Generic,Other,0,130.46105999999997,6356,202
7 Mar 2026,Performance Max,Other,0,37.976217,15777,66
7 Mar 2026,Generic,SE Asia,3,208.901171,829,76
7 Mar 2026,Demand Gen,SE Asia,0,36.070442,3941,56
7 Mar 2026,Generic,India,2,144.720489,1360,55
7 Mar 2026,Demand Gen,India,0,40.183866,3477,50
7 Mar 2026,Performance Max,SE Asia,0,29.537164,2757,40
7 Mar 2026,Demand Gen,Japan,0,45.629321,6903,31
7 Mar 2026,Performance Max,India,0,30.739222,1567,24
7 Mar 2026,Other,Other,0,0,0,0
6 Mar 2026,Brand,Other,41,79.380045,555,296
6 Mar 2026,Demand Gen,China,1,101.534575,42963,222
6 Mar 2026,Generic,Japan,2,323.887834,2222,154
6 Mar 2026,Generic,China,6,458.32913600000006,2850,147
6 Mar 2026,Performance Max,China,2,62.431938,4048,62
6 Mar 2026,Generic,SE Asia,1,204.982363,1070,73
6 Mar 2026,Performance Max,Other,0,36.460083,12873,58
6 Mar 2026,Demand Gen,SE Asia,0,31.915551,3805,53
6 Mar 2026,Generic,India,1,138.07850000000002,1411,52
6 Mar 2026,Performance Max,Japan,0,35.791684,11692,49
6 Mar 2026,Generic,Other,0,121.646754,7199,175
6 Mar 2026,Performance Max,SE Asia,0,34.679696,3387,45
6 Mar 2026,Demand Gen,India,0,31.919849,3295,32
6 Mar 2026,Demand Gen,Japan,0,43.649225,6490,22
6 Mar 2026,Performance Max,India,0,13.859813,1087,15
6 Mar 2026,Other,Other,4,0,0,0
5 Mar 2026,Brand,Other,23,85.007906,611,306
5 Mar 2026,Demand Gen,China,1,102.036198,44145,195
5 Mar 2026,Generic,Japan,3,188.50279600000002,1698,99
5 Mar 2026,Generic,China,4,497.302898,2434,117
5 Mar 2026,Performance Max,Other,1,45.546997,14185,79
5 Mar 2026,Performance Max,China,2,46.630921,6094,77
5 Mar 2026,Generic,Other,1,112.03212400000001,8528,184
5 Mar 2026,Demand Gen,SE Asia,0,33.274538,3930,52
5 Mar 2026,Generic,India,0,116.09328000000001,1393,52
5 Mar 2026,Performance Max,Japan,2,26.961489,8463,41
5 Mar 2026,Demand Gen,Japan,1,40.419574,5178,40
5 Mar 2026,Performance Max,India,0,40.228632,2296,31
5 Mar 2026,Demand Gen,India,1,30.567491,3374,27
5 Mar 2026,Generic,SE Asia,1,79.025226,1044,29
5 Mar 2026,Performance Max,SE Asia,0,14.751199,1653,25
5 Mar 2026,Other,Other,0,0,0,0
4 Mar 2026,Demand Gen,China,1,105.963844,54530,304
4 Mar 2026,Brand,Other,36,68.641375,610,307
4 Mar 2026,Generic,China,7,374.67346699999996,2176,125
4 Mar 2026,Performance Max,China,3,57.73747,4355,78
4 Mar 2026,Generic,Japan,2,137.306558,1178,66
4 Mar 2026,Performance Max,Japan,2,27.489287,8143,54
4 Mar 2026,Demand Gen,SE Asia,0,33.843757,4573,54
4 Mar 2026,Performance Max,Other,0,32.395311,8030,49
4 Mar 2026,Demand Gen,Japan,0,43.292997,4971,46
4 Mar 2026,Demand Gen,India,0,34.094054,3284,35
4 Mar 2026,Generic,SE Asia,1,104.140159,818,41
4 Mar 2026,Generic,India,0,54.270864,1139,31
4 Mar 2026,Performance Max,India,1,37.401626,2153,30
4 Mar 2026,Generic,Other,0,85.03724199999999,28100,125
4 Mar 2026,Performance Max,SE Asia,0,10.344339,2930,14
4 Mar 2026,Other,Other,1,0,0,0
3 Mar 2026,Demand Gen,China,1,101.53175,35326,267
3 Mar 2026,Brand,Other,47,69.09809,572,299
3 Mar 2026,Generic,China,7,336.02559099999996,2585,144
3 Mar 2026,Generic,Japan,2,211.218793,1359,110
3 Mar 2026,Performance Max,China,2,69.812509,5402,76
3 Mar 2026,Demand Gen,Japan,0,78.288688,8207,75
3 Mar 2026,Demand Gen,SE Asia,1,45.334345,6639,72
